"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hsapiens_homolog","gene"
"ENSMUSG00000000001",919.752215521165,0.0401015784364794,0.0414188051040279,0.968197376427443,0.332945804938093,0.999826818382185,"ENSG00000065135","Gnai3"
"ENSMUSG00000000028",69.9325358214027,0.0134668093160261,0.0543449713229543,0.247802307889671,0.804287369177545,0.999826818382185,"ENSG00000093009","Cdc45"
"ENSMUSG00000000037",11.8990015085216,0.026363083708827,0.0323559128588924,0.814784111448167,0.415195897214366,0.999826818382185,"ENSG00000102098","Scml2"
"ENSMUSG00000000056",1624.32204530555,0.0115256214849366,0.0388093686614385,0.296980391139127,0.766481479741103,0.999826818382185,"ENSG00000141562","Narf"
"ENSMUSG00000000058",246.663025183999,0.00822563931543784,0.0543063383597444,0.151467389698571,0.879607033263481,0.999826818382185,"ENSG00000105971","Cav2"
"ENSMUSG00000000078",735.146286765788,-0.0204959802298046,0.0455841646872449,-0.449629391487779,0.652977691576687,0.999826818382185,"ENSG00000067082","Klf6"
"ENSMUSG00000000085",591.219083583221,-0.0251943245421602,0.0467947365843568,-0.53840081986021,0.590300360485633,0.999826818382185,"ENSG00000010803","Scmh1"
"ENSMUSG00000000088",1675.20973485053,-0.0646946723995517,0.0422590036428929,-1.53090860698587,0.125791981743037,0.999826818382185,"ENSG00000178741","Cox5a"
"ENSMUSG00000000093",27.5939817193156,-0.00152022111264369,0.0468808293005618,-0.0324273511225083,0.97413125091204,0.999826818382185,"ENSG00000121068","Tbx2"
"ENSMUSG00000000120",111.571190443297,-0.00628880778461929,0.0550932868357527,-0.114148349931778,0.909120194968762,0.999826818382185,"ENSG00000064300","Ngfr"
"ENSMUSG00000000125",232.993803017213,-0.062634027899029,0.0537177303443701,-1.16598425692037,0.243620810645267,0.999826818382185,"ENSG00000108379","Wnt3"
"ENSMUSG00000000126",18.88953210953,0.0240129485994539,0.0443462341388277,0.541487886531253,0.588171344793786,0.999826818382185,"ENSG00000143816","Wnt9a"
"ENSMUSG00000000127",846.121702144989,-0.0128960084803663,0.0440745302610963,-0.292595483241018,0.769831366606111,0.999826818382185,"ENSG00000151422","Fer"
"ENSMUSG00000000131",1524.72412999033,-0.0545195483842734,0.0436884056739297,-1.24791801264579,0.212061083469035,0.999826818382185,"ENSG00000169180","Xpo6"
"ENSMUSG00000000134",361.616298672016,-0.054482499216399,0.0494714683358511,-1.10129133112705,0.270769882869237,0.999826818382185,"ENSG00000068323","Tfe3"
"ENSMUSG00000000142",382.729948258426,-0.0309807325103796,0.0485137257877324,-0.63859726309072,0.523084962234211,0.999826818382185,"ENSG00000168646","Axin2"
